#,receptor,ligand,centerx,centery,centerz,sizex,sizey,sizez
i,D3R_3PBL_H,ZINC00000023,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000053,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000053,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000056,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000056,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000061,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000061,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000083,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000083,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000095,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000095,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000018,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000018,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000036,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000036,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000056,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000056,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000061,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000061,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000083,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000083,2,-16,7,18.409,18.441,18.476
i,D3R_3PBL,ZINC00000070,2,-16,7,18.409,18.441,18.476  
i,D3R_3PBL_H,ZINC00000070,2,-16,7,18.409,18.441,18.476
i,H1R_3RZE,3D1,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,3D1,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,4DX,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,4DX,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,ACT,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,ACT,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,ANP,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,ANP,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,DAO,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,DAO,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,DIH,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,DIH,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,MGT,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,MGT,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,N8M,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,N8M,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,NAD,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,NAD,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,T27,14,34,23,18.409,18.441,18.476            
i,H1R_3RZE_H,T27,14,34,23,18.409,18.441,18.476          
i,H1R_3RZE,ZINC00001506,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00001506,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00001592,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00001592,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00002171,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00002171,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00004579,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00004579,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00005256,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00005256,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00007580,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00007580,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000023,14,34,23,18.409,18.441,18.476   
